Monat,Tag,Typ,Strecke in km,Zeit,Krafttraining,F-Strecke,F-Zeit
1,1,,,,,,
1,2,F,,,60,8.5,21:20
1,3,F,3,18,60,,
1,4,F,9,54,40,,
1,5,F,3,16:30,60,,
1,6,F,3,16:30,60,,
1,7,,,,,,
1,8,F,8,48,40,,
1,9,,,,,,
1,10,F,3,18,60,,
1,11,F,2,12,60,,
1,12,K,,,,,
1,13,K,,,,,
1,14,K,,,,,
1,15,K,,,,,
1,16,K,,,,,
1,17,F,,,30,10,26:55
1,18,F,,,35,10,26:31
1,19,,,,,,
1,20,F,,,50,5,12:41
1,21,F,5,30,40,,
1,22,F,5,30,30,,
1,23,,,,,,
1,24,F,3,17:30,60,,
1,25,F,8,48,40,,
1,26,,,,,,
1,27,F,3,16:30,60,,
1,28,F,8,48,40,,
1,29,F,2,12,60,,
1,30,,,,,,
1,31,F,3,16:30,60,,
2,1,F,8,48,30,,
2,2,F,3,16:30,60,,
2,3,F,6,32:50,45,,
2,4,F,2,12,40,,
2,5,F,3,16:30,60,,
2,6,,,,,,
2,7,F,3,16:30,60,,
2,8,F,8,48,40,,
2,9,F,3,16:30,60,,
2,10,F,3,16:30,60,,
2,11,F,8,48,40,,
2,12,F,3.2,17:30,60,,
2,13,F,,,60,7.5,19
2,14,F,8,48,40,,
2,15,F,3,16:30,60,,
2,16,F,,,60,7.5,19:19
2,17,F,3,18,50,,
2,18,F,3.2,17:12,60,,
2,19,F,,,60,7.5,19:33
2,20,F,8,48,40,,
2,21,F,,,60,7.5,19:12
2,22,F,3,16:30,63,,
2,23,F,8,45:30,40,,
2,24,F,,,60,7.5,18
2,25,F,3,16:30,60,,
2,26,F,8,45:30,40,,
2,27,F,8,45:30,40,,
2,28,F,,,60,7.5,19:17
3,1,F,3,16:25,60,,
3,2,,,,,,
3,3,F,3,17:08,60,,
3,4,F,8,48,40,,
3,5,F,,,60,8,20:30
3,6,,,,,,
3,7,L,6.14,33:37,,,
3,8,F,,,60,8,20:56
3,9,F,,,60,7.5,20
3,10,F,3,18,60,,
3,11,,,,,,
3,12,F,8,48,40,,
3,13,F,3,18,60,,
3,14,F,,,60,7.5,19:15
3,15,F,,,60,8,19:55
3,16,F,8,48,40,,
3,17,F,,,60,7.5,19:25
3,18,F,,,55,5,13
3,19,F,3,16:23,60,,
3,20,F,9,54,36,,
3,21,,,,,,
3,22,F,,,60,7.5,18:50
3,23,F,3,18,60,,
3,24,F,8,48,40,,
3,25,F,,,60,7.5,19:05
3,26,F,1,7:30,60,5,12:44
3,27,F,3,18,60,,
3,28,F,8,48,40,,
3,29,F,,,60,7.5,18:40
3,30,F,,,60,7.5,19
3,31,F,3,18,60,,
4,1,F,10,60,30,,
4,2,F,,,60,7.5,19:15
4,3,F,1,7:30,60,5,13:21
4,4,F,3,16:30,60,,
4,5,F,10,60,34,,
4,6,F,3.61,25:20,60,,
4,7,F,2,13:18,60,,
4,8,F,,,60,7.5,18:54
4,9,,,,,,
4,10,F,10,60,32,,
4,11,F,2,15,60,5,12:34
4,12,F,3,20,60,,
4,13,F,1,5:30,60,5,12:53
4,14,F,10,60,34,,
4,15,F,,,60,8,20:10
4,16,F,3,21:40,60,9,40
4,17,S,2.5,60,,11.4,42
4,18,F,10,60,34,,
4,19,F,1,7:30,60,5,12:55
4,20,F,3,18,60,,
4,21,F,3,18,60,,
4,22,F,10,60,30,,
4,23,F,2,14:36,60,5,13:10
4,24,S,2.5,60,,11.5,47:30
4,25,F,3,17:10,62,,
4,26,F,10,60,32,,
4,27,F,1.5,10,60,5,12:42
4,28,F,3,18:50,60,,
4,29,S,2.5,60,,11.35,45
4,30,F,10,60,30,,
5,1,F,,,60,10,16:06
5,2,F,3,20,60,,
5,3,F,1,6,40,26,100
5,4,F,10,60,34,,
5,5,S,2.5,60,,,
5,6,F,3,18:30,60,,
5,7,F,10,60,34,,
5,8,,,,,,
5,9,,,,,30,110
5,10,L,6.5,36,15,,
5,11,F,4,28,60,,
5,12,F,,,60,7.8,18:51
5,13,F,,,60,7.5,19:30
5,14,F,10,60,30,,
5,15,F,,,60,5,12:58
5,16,F,1,7:03,60,5,12:56
5,17,F,3,18,60,,
5,18,F,10,60,34,,
5,19,,,,60,7.5,19:30
5,20,F,2,13:18,60,,
5,21,F,10,60,32,,
5,22,,,,,20,70
5,23,F,,,60,7.5,19:40
5,24,F,3,20,60,,
5,25,F,1,6,40,5,14
5,26,,,,,10,40
5,27,S,2.25,52,,20,70
5,28,F,5,30,40,,
