Monat,Tag,Typ,Strecke in km,Zeit,Krafttraining,F-Strecke,F-Zeit
9,28,F,2,12,50,5,11:47
9,29,F,3,18,60,,
9,30,F,,,40,10,24:35
10,1,F,2,14:12,30,15,36:48
10,2,F,,,55,7.5,18
10,3,,,,,,
10,4,F,,,60,10,24:30
10,5,F,,,50,10,25:30
10,6,,,,,,
10,7,F,4,25:20,30,10,24:40
10,8,F,4,25:20,50,,
10,9,F,4,24:30,56,,
10,10,F,4,24,15,10,24:38
10,11,S,2.7,70,,,
10,12,,,,,,
10,13,,,,30,,
10,14,F,3,18,60,,
10,15,F,4,24,30,10,24:30
10,16,F,3,16:40,60,,
10,17,F,,,30,,
10,18,L,3.3,16:53,,,
10,19,F,4,24,40,10,24:35
10,20,L,4,21:05,,,
10,21,F,,,60,10,24:38
10,22,F,6,36,38,5,12:38
10,23,,,,,,
10,24,,,,,,
10,25,F,4,23:50,60,,
10,26,F,8,48,36,,
10,27,F,4,24,58,,
10,28,F,8,48,40,,
10,29,F,,,60,7.5,18:46
10,30,,,,,,
10,31,F,4,23:53,65,,
11,1,F,4,23:53,60,,
11,2,F,8,48,40,,
11,3,,,,,,
11,4,F,3,16:34,60,,
11,5,F,4,24,35,10,24:20
11,6,F,3,18,30,,
11,7,,,,,,
11,8,,,,,,
11,9,,,,,,
11,10,,,,,,
11,11,,,,,,
11,12,,,,,,
11,13,,,,,,
11,14,,,,,,
11,15,F,,,15,10,30
11,16,F,,,20,10,26:25
11,17,,,,,,
11,18,F,3,18,40,,
11,19,F,3,18,30,10,25:45
11,20,F,,,50,10,25:43
11,21,,,,,,
11,22,,,,,,
11,23,,,,,,
11,24,,,,,,
11,25,,,,,,
11,26,,,,,,
11,27,,,,,,
11,28,,,,,,
11,29,,,,,,
11,30,,,,,,
